"g3_id","g1_race","g1_male","g2_male","g3_male","g1_age","g2_age","g3_age","g3_edu_highest","g2_edu_highest","g1_edu_highest","g3_edu_years","g2_edu_years","g1_edu_years","g3_house_value","g2_house_value","g1_house_value","g3_poor_srh","g2_poor_srh","g1_poor_srh","g1_weight","g3_house_value_quintile","g3_house_value_percentile","g2_house_value_quintile","g2_house_value_percentile","g1_house_value_quintile","g1_house_value_percentile","n","pweight_1","id","g1_white","g1_agesq","g1_edu_cat","g2_agesq","g2_edu_cat","g3_agesq","g3_edu_cat","hs_or_less"
6519030,"black",0.5,0,0,37,31.3333333333333,41.5,4,2,1.5,15.5,12,11,4999999,0,35567.3771264368,0,0,0,1,4,97,0,0,1,18,1,1,6519030,0,1369,NA,981.777777777778,"hs",1722.25,"college","more"
6519034,"black",0.5,0,0,37,31.3333333333333,34.5,3,2,1.5,14,12,11,90000,0,35567.3771264368,0,0,0,1,2,26,0,0,1,18,1,1,6519034,0,1369,NA,981.777777777778,"hs",1190.25,"some_college","more"
6519031,"black",0.5,0,0,37,30.5,41,3,2,1.5,14,12,11,215556.4,0,35567.3771264368,1,0,0,1,3,66,0,0,1,18,1,1,6519031,0,1369,NA,930.25,"hs",1681,"some_college","more"
6519033,"black",0.5,0,0,37,30.5,37,5,2,1.5,17,12,11,4e+05,0,35567.3771264368,0,0,0,1,4,89,0,0,1,18,1,1,6519033,0,1369,NA,930.25,"hs",1369,"higher","more"
6519035,"black",0.5,0,0,37,30.5,34,5,2,1.5,17,12,11,84000,0,35567.3771264368,0,0,0,1,1,24,0,0,1,18,1,1,6519035,0,1369,NA,930.25,"hs",1156,"higher","more"
6519036,"black",0.5,0,1,37,26,33,2,2,1.5,12,12,11,112500,0,35567.3771264368,1,0,0,1,2,35,0,0,1,18,1,1,6519036,0,1369,NA,676,"hs",1089,"hs","more"
6519037,"black",0.5,0,1,37,26,33.5,2,2,1.5,12,12,11,414297,0,35567.3771264368,1,0,0,1,4,90,0,0,1,18,1,1,6519037,0,1369,NA,676,"hs",1122.25,"hs","more"
6531030,"black",0.5,0,0,31,26.5,32,2,2,1.5,12,11.3333333333333,10.5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,6531030,0,961,NA,702.25,"hs",1024,"hs","more"
6537031,"black",0,0,0,46.5,35.5,45,3,2,1,14,12,7,45000,0,0,0,0,0,1,1,10,0,0,0,0,1,1,6537031,0,2162.25,"less_hs",1260.25,"hs",2025,"some_college","less"
6537032,"black",0,0,0,46.5,35.5,42,2,2,1,12,12,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6537032,0,2162.25,"less_hs",1260.25,"hs",1764,"hs","less"
6545030,"black",0.5,0,0,36,32.5,43,4,2,1.5,16,12,8.5,0,124029.833333333,17234.6146551724,0,0,0,3,0,0,3,65,1,4,1,3,6545030,0,1296,NA,1056.25,"hs",1849,"college","more"
6545035,"black",0.5,0,1,36,32.5,33,4,2,1.5,16,12,8.5,0,124029.833333333,17234.6146551724,0,0,0,3,0,0,3,65,1,4,1,3,6545035,0,1296,NA,1056.25,"hs",1089,"college","more"
6545031,"black",0.5,0,1,36,27.2,40,2,3,1.5,12,14,8.5,70714.85,31354.206,17234.6146551724,1,0,0,3,1,18,1,20,1,4,1,3,6545031,0,1296,NA,739.84,"some_college",1600,"hs","more"
6545033,"black",0.5,0,1,36,27.2,39,2,3,1.5,12,14,8.5,250000,31354.206,17234.6146551724,0,0,0,3,3,72,1,20,1,4,1,3,6545033,0,1296,NA,739.84,"some_college",1521,"hs","more"
6545039,"black",0.5,0,0,36,27.2,26,3,3,1.5,13,14,8.5,176076.2,31354.206,17234.6146551724,0,0,0,3,3,55,1,20,1,4,1,3,6545039,0,1296,NA,739.84,"some_college",676,"some_college","more"
6545034,"black",0.5,0,0,36,25,36.5,3,2,1.5,15,12,8.5,0,0,17234.6146551724,0,0,0,3,0,0,0,0,1,4,1,3,6545034,0,1296,NA,625,"hs",1332.25,"some_college","more"
6545036,"black",0.5,0,0,36,25,33,3,2,1.5,13,12,8.5,0,0,17234.6146551724,0,0,0,3,0,0,0,0,1,4,1,3,6545036,0,1296,NA,625,"hs",1089,"some_college","more"
6545037,"black",0.5,0,1,36,26,31,3,2,1.5,13,12,8.5,85448.75,0,17234.6146551724,0,0,0,3,1,25,0,0,1,4,1,3,6545037,0,1296,NA,676,"hs",961,"some_college","more"
6547030,"black",0.5,0,0,45.5,34.3333333333333,45,4,2,1,16,12,7.5,0,128673.633333333,17234.6146551724,0,0,0,3,0,0,3,67,1,4,1,3,6547030,0,2070.25,"less_hs",1178.77777777778,"hs",2025,"college","less"
6553004,"black",0.5,0,0,47.5,39.5,52,4,1,1,16,9.83333333333333,6.5,185252.55,22700.5733333333,73369.4029310345,0,0,0,3,3,58,1,14,2,39,1,3,6553004,0,2256.25,"less_hs",1560.25,"less_hs",2704,"college","less"
6560033,"black",0.5,0,0,49,30.4,29.5,3,2,1,14.5,12,6.5,5216211.5,0,0,0,0,0,3,4,99,0,0,0,0,1,3,6560033,0,2401,"less_hs",924.16,"hs",870.25,"some_college","less"
6560178,"black",0.5,0,0,49,30.4,35.5,5,2,1,17,12,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6560178,0,2401,"less_hs",924.16,"hs",1260.25,"higher","less"
6575032,"black",0.5,1,1,51,26.8,28.5,5,2,1,16,12,6,269307.35,18214.052,41946.887816092,0,0,0,3,3,75,1,12,1,21,1,3,6575032,0,2601,"less_hs",718.24,"hs",812.25,"higher","less"
6577032,"black",0.5,1,0,38,35,40.5,3,3,1,14,14,8,0,53623.6,0,0,0,0,3,0,0,2,30,0,0,1,3,6577032,0,1444,"less_hs",1225,"some_college",1640.25,"some_college","less"
6577036,"black",0.5,1,0,38,35,37.5,3,3,1,13,14,8,0,53623.6,0,1,0,0,3,0,0,2,30,0,0,1,3,6577036,0,1444,"less_hs",1225,"some_college",1406.25,"some_college","less"
6577031,"black",0.5,0,0,38,33.5,42,2,2,1,12,12,8,9999998,0,0,1,0,0,3,4,100,0,0,0,0,1,3,6577031,0,1444,"less_hs",1122.25,"hs",1764,"hs","less"
6577035,"black",0.5,0,0,38,30.5,41,2,2,1,12,12,8,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6577035,0,1444,"less_hs",930.25,"hs",1681,"hs","less"
6577038,"black",0.5,0,0,38,30.5,30,3,2,1,14,12,8,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6577038,0,1444,"less_hs",930.25,"hs",900,"some_college","less"
6577037,"black",0.5,1,0,38,27.5,34,4,2,1,16,12,8,5253712,85756.2483333333,0,0,0,0,3,4,99,2,48,0,0,1,3,6577037,0,1444,"less_hs",756.25,"hs",1156,"college","less"
6583039,"black",1,0,1,52.5,39.5,36,2,2,1,12,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583039,0,2756.25,"less_hs",1560.25,"hs",1296,"hs","less"
6583036,"black",1,1,0,52.5,42.5,38,2,1,1,12,9.83333333333333,3,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6583036,0,2756.25,"less_hs",1806.25,"less_hs",1444,"hs","less"
6583030,"black",1,1,0,52.5,31.5,42,2,1,1,12,10,3,48304.205,0,0,0,0,0,3,1,11,0,0,0,0,1,3,6583030,0,2756.25,"less_hs",992.25,"less_hs",1764,"hs","less"
6583035,"black",1,0,1,52.5,28.5,40,2,2,1,12,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583035,0,2756.25,"less_hs",812.25,"hs",1600,"hs","less"
6583038,"black",1,0,0,52.5,28.5,37,1,2,1,11,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6583038,0,2756.25,"less_hs",812.25,"hs",1369,"less_hs","less"
