"YEAR","CASEID","SERIAL","REGION","STATEFIP","METRO","MSASIZE","COUNTY","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","MONTH","AGE","SEX","RACE","HISPAN","ASIAN","MARST","YRIMMIG","CITIZEN","BPL","MBPL","FBPL","RELATE","EDUC","EDUCYRS","SCHLCOLL","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","RETIRED","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","HRSATRATE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","NONHHCHILD","NOSCCRSN1","SCC_ALL","SCC_OWN","SCC_HH","SCC_HHNHHOWN","DIFFANY","ECYEST","ECPRIOR","ECNUM","ECFREQ","COVIDTELEW","COVIDPAID","COVIDUNAW","COVIDLOOK","ACT_CARENHH","ACT_SOCIAL","ACT_SPORTS","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework","employment","employment_di","remote_work","gender","college","age_youngestchild","race","married","education"
2021,20210101210180,11,4,6,1,5,6000,7360,9,1,2,0,0,999,1,1,1,1,23,1,110,210,999,6,0,1,9900,9900,9900,10,30,216,5,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,0,0,0,0,0,0,55,"not in labor force","unemployed","No","Man","No college degree",NA,"Hispanic","not married","Some college"
2021,20210101210201,12,1,42,1,5,42003,0,15,5,1,0,0,999,5,1,1,1,23,2,100,100,999,6,0,1,9900,9900,9900,10,30,112,4,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,2,99,0,99,99,99,1,2,99,0,60,0,0,0,0,0,0,"not in labor force","unemployed",NA,"Woman","No college degree",NA,"Non-Hispanic White","not married","Some college"
2021,20210101210223,13,1,25,2,6,25009,1122,16,4,1,1,2,14,2,1,1,1,15,2,100,100,999,6,0,1,9900,46590,46590,10,14,109,3,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,99,99,0,105,0,0,0,0,0,0,"not in labor force","unemployed",NA,"Woman","No college degree",14,"Non-Hispanic White","not married","Less than HS diploma"
2021,20210101210240,14,3,51,2,7,51000,8841,15,4,1,1,1,17,3,1,1,1,17,1,100,244,999,6,21,5,20000,20000,20000,10,15,110,3,2,0,4,132,4110,271,8680,99,2,9995,50,1,7.5,998,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,0,0,0,0,0,0,0,"employed","employed","No","Man","No college degree",17,"Hispanic","not married","Less than HS diploma"
2021,20210101210247,15,4,6,1,7,6059,4481,14,3,2,0,0,999,3,1,1,1,20,1,100,100,999,6,18,4,53000,53000,53000,10,21,112,5,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,55,0,0,0,0,0,65,"not in labor force","unemployed",NA,"Man","No college degree",NA,"Non-Hispanic White","not married","HS diploma, no college"
2021,20210101210269,16,3,45,3,5,45091,0,14,2,2,0,0,999,2,1,1,1,24,2,100,210,999,6,0,1,9900,9900,9900,10,21,112,4,1,0,4,134,4600,252,8470,99,1,9995,460,1,11.5,40,2,22,1,100,210,21,1,1,99,1241.4,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,215,0,512,0,0,0,0,"employed","employed","No","Woman","No college degree",NA,"Hispanic","not married","HS diploma, no college"
2021,20210101210275,17,1,25,1,4,25027,1122,15,3,2,0,0,999,3,1,1,1,24,1,100,100,999,6,0,1,9900,9900,11500,10,41,316,5,1,0,4,122,1650,251,8090,99,1,40,1200,1,30,40,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,120,80,560,0,0,0,85,"employed","employed","No","Man","College degree",NA,"Non-Hispanic White","not married","College degree+"
2021,20210101210276,18,2,19,2,4,19000,0,12,1,2,0,0,999,1,1,1,1,23,1,110,100,999,6,0,1,9900,9900,9900,10,31,214,1,1,1,4,150,5000,132,3070,99,1,50,680,1,17,40,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,2,99,1,99,0,250,0,540,0,0,0,22,"employed","employed","Yes","Man","No college degree",NA,"Non-Hispanic Black","not married","Some college"
2021,20210101210285,19,2,26,4,0,26005,0,13,3,1,1,1,15,2,1,1,1,15,1,100,100,999,6,0,1,9900,9900,9900,10,14,109,3,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,99,99,0,345,0,0,0,0,0,2,"not in labor force","unemployed",NA,"Man","No college degree",15,"Non-Hispanic White","not married","Less than HS diploma"
2021,20210101210292,20,4,6,2,6,6000,7360,16,4,1,1,2,14,2,1,1,1,17,1,131,100,70,6,0,1,9900,9900,9900,10,15,110,3,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,321,0,40,0,4,4,210,"not in labor force","unemployed",NA,"Man","No college degree",14,"Non-Hispanic Asian","not married","Less than HS diploma"
